Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220nF,C_0603_1608Metric,110.49,-116.205,-90.0,top
C2,220nF,C_0603_1608Metric,118.745,-116.205,-90.0,top
C3,220nF,C_0603_1608Metric,127.0,-116.205,-90.0,top
C4,220nF,C_0603_1608Metric,135.255,-116.205,-90.0,top
C5,220nF,C_0603_1608Metric,143.51,-116.205,-90.0,top
C6,220nF,C_0603_1608Metric,151.765,-116.205,-90.0,top
C7,220nF,C_0603_1608Metric,160.025,-116.205,-90.0,top
C8,220nF,C_0603_1608Metric,168.28,-116.205,-90.0,top
C9,220nF,C_0603_1608Metric,111.76,-80.01,180.0,top
C10,220nF,C_0603_1608Metric,157.48,-80.01,180.0,top
C11,220nF,C_0603_1608Metric,110.49,-97.79,-90.0,top
C12,220nF,C_0603_1608Metric,118.74,-97.765,-90.0,top
C13,220nF,C_0603_1608Metric,127.0,-97.79,-90.0,top
C14,220nF,C_0603_1608Metric,135.255,-97.79,-90.0,top
C15,220nF,C_0603_1608Metric,143.51,-97.79,-90.0,top
C16,220nF,C_0603_1608Metric,151.765,-97.79,-90.0,top
C17,220nF,C_0603_1608Metric,160.02,-97.79,-90.0,top
C18,220nF,C_0603_1608Metric,168.275,-97.79,-90.0,top
C19,220nF,C_0603_1608Metric,134.62,-80.01,180.0,top
D1,RED,LED_0805_2012Metric,110.495,-110.49,180.0,top
D2,YELLOW,LED_0805_2012Metric,118.75,-110.49,180.0,top
D3,RED,LED_0805_2012Metric,127.005,-110.49,180.0,top
D4,YELLOW,LED_0805_2012Metric,135.26,-110.49,180.0,top
D5,RED,LED_0805_2012Metric,143.515,-110.49,180.0,top
D6,YELLOW,LED_0805_2012Metric,151.77,-110.49,180.0,top
D7,RED,LED_0805_2012Metric,160.02,-110.49,180.0,top
D8,YELLOW,LED_0805_2012Metric,168.275,-110.49,180.0,top
D9,YELLOW,LED_0805_2012Metric,110.49,-83.185,180.0,top
D10,RED,LED_0805_2012Metric,118.745,-83.185,180.0,top
D11,YELLOW,LED_0805_2012Metric,127.0,-83.185,180.0,top
D12,RED,LED_0805_2012Metric,135.255,-83.185,180.0,top
D13,YELLOW,LED_0805_2012Metric,143.51,-83.185,180.0,top
D14,RED,LED_0805_2012Metric,151.765,-83.185,180.0,top
D15,YELLOW,LED_0805_2012Metric,160.02,-83.185,180.0,top
D16,RED,LED_0805_2012Metric,168.275,-83.185,180.0,top
J1,10129382-912001BLF,PinHeader_2x06_P2.54mm_PMODPeriph2B,116.84,-76.2,180.0,top
J2,10129382-912001BLF,PinHeader_2x06_P2.54mm_PMODPeriph2B,139.7,-76.2,180.0,top
J3,10129382-912001BLF,PinHeader_2x06_P2.54mm_PMODPeriph2B,162.56,-76.2,180.0,top
